Index No.,Grade
200086U,B
200370K,A-
210005H,A
210009A,C+
210013F,B+
210017V,B-
210021D,B-
210025T,B+
210029J,B
210033P,B
210037G,B
210041M,B
210045E,C
210049U,B-
210053C,C
210057R,C+
210061A,C+
210065N,B-
210069F,B-
210074P,C
210078G,C
210082M,C+
210086E,B
210090K,B-
210094C,I-we
210098R,B-
210102D,B
210106T,B
210110B,B-
210114P,C+
210118G,B-
210122M,C+
210126E,C+
210130K,B
210134C,B
210138R,C+
210142A,C+
210146N,B+
210150V,A
210154L,C+
200121B,C-
210001R,A-
210006L,C
210010T,C+
210014J,A
210018B,B+
210022G,A+
210026X,B
210030E,C
210034U,C-
210038K,B-
210042R,C
210046H,B
210050N,B
210054F,A-
210058V,B+
210062D,I-we
210066T,B
210070B,C+
210075U,B
210079K,B+
210083R,B-
210087H,A-
210091N,C
210095F,B+
210099V,B-
210103G,B-
210107X,B+
210111E,C+
210115U,C+
210119K,B+
210123R,F
210127H,B-
210131N,B+
210135F,C+
210139V,C+
210143D,C+
210147T,B-
210151B,B
210155P,F
200162B,C
210003B,A-
210007P,C+
210011X,B
210015M,B
210019E,B
210023K,B
210027C,B+
210031H,A-
210035A,B
210039N,B-
210043V,B
210047L,C+
210051T,B
210055J,A-
210059B,B
210063G,B
210067X,B
210071E,B+
210076A,C
210080F,C+
210084V,B-
210088L,B
210092T,B
210096J,C+
210100U,A
210104K,B
210108C,B+
210112H,B-
210116A,B-
210120F,F
210124V,A
210128L,B-
210132T,C
210136J,B
210140P,B+
210144G,B
210148X,C
210152E,B+
210156U,A
200213J,B
210004E,B+
210008U,C+
210012C,C
210016R,C
210020A,C+
210024N,A-
210028F,B
210032L,C
210036D,B-
210040J,C+
210044B,B
210048P,C+
210052X,B
210056M,B
210060U,B
210064K,I-we
210068C,C
210073L,C+
210077D,A
210081J,B+
210085B,B-
210089P,B+
210093X,B-
210097M,A-
210101A,I-we
210105N,C+
210109F,B+
210113L,C+
210117D,C
210121J,C
210125B,C+
210129P,A+
210133X,B
210137M,B-
210141U,B+
210145K,C+
210149C,C+
210153H,A
210157A,A+
210158D,C
210162J,C+
210166B,B+
210170G,B
210174X,B
210178M,A
210182U,C+
210186K,C
210190R,A
210194H,B-
210198A,A
210202J,A
210206B,B+
210210G,A-
210214X,B-
210218M,A
210222U,B-
210226K,B
210230R,C-
210234H,B+
210238A,B
210242F,A
210246V,B+
210250D,A-
210254T,A
210258J,A
210262P,B
210266G,B
210270M,B-
210275H,B-
210279A,B+
210283F,B-
210287V,C+
210291D,B-
210295T,C+
210299J,B-
210303U,B+
210307K,B-
210311R,C+
210315H,B+
210159G,C+
210163M,B
210167E,B
210171K,B
210175C,A-
210179R,B
210183A,B+
210187N,I-we
210191V,B
210195L,B
210199D,A-
210203M,A-
210207E,A
210211K,B
210215C,A
210219R,B-
